scene_id,acq_time_utc,lon,lat,bbox_w_m,bbox_h_m,length_class_m,confidence,aspect_ratio,wake_flag,range_km,detector,nir_snr,size_class,fill,width_m,n_px,n_years_at_cell,transient
20230815_182609_80_24c8,2023-08-15T18:26:09.801073Z,-125.324031,48.849679,36.0,81.0,81.0,0.999,2.25,0,5.182,B,37.95,>24m,0.7037,36.0,228,1,1
20210812_194340_68_1058,2021-08-12T19:43:40.689537Z,-125.317998,48.83437,37.7,75.4,75.4,0.999,2.0,0,3.679,B,37.93,>24m,0.5763,37.7,182,1,1
20210812_194340_68_1058,2021-08-12T19:43:40.689537Z,-125.23846,48.825335,33.1,120.0,120.0,0.9987,3.62,1,3.175,B,36.83,>24m,0.5753,33.1,254,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.236445,48.817745,42.0,129.0,129.0,0.9987,3.07,1,3.097,B,36.73,>24m,0.5731,42.0,345,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.233926,48.82926,33.9,99.6,99.6,0.9982,2.94,1,3.662,B,35.16,>24m,0.5952,33.9,223,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.218567,48.81599,25.8,45.0,45.0,0.9982,1.74,0,4.39,B,34.97,>24m,0.5736,25.8,74,1,1
20210730_182659_13_2434,2021-07-30T18:26:59.136637Z,-125.217052,48.845229,26.2,30.8,30.8,0.9976,1.18,0,5.667,B,33.72,>24m,0.6484,26.2,58,1,1
20210812_191832_32_2406,2021-08-12T19:18:32.325059Z,-125.237635,48.828186,39.8,109.8,109.8,0.9976,2.76,1,3.365,B,33.72,>24m,0.5743,39.8,279,1,1
20230719_182055_22_2449,2023-07-19T18:20:55.227898Z,-125.225734,48.854674,24.0,24.0,24.0,0.9976,1.0,0,5.928,B,33.54,>24m,0.7031,24.0,45,1,1
20210626_182926_29_2457,2021-06-26T18:29:26.294082Z,-125.225328,48.787321,64.5,66.6,66.6,0.9973,1.03,0,4.906,B,33.09,>24m,0.5715,64.5,273,1,1
20240827_194346_64_2461,2024-08-27T19:43:46.643869Z,-125.316539,48.81652,18.0,21.0,21.0,0.9973,1.17,0,2.822,B,32.95,12-24m,0.7143,18.0,30,1,1
